ID,ID_клиента,фамилия,кредитный_рейтинг,город,пол,возраст,стаж_в_банке,баланс_депозита,число_продуктов,есть_кредитка,активный_клиент,оценочная_зарплата,ушел_из_банка
0,15709511.0,Тестов55,754.0,Астана,Male,40.0,8.0,102954.68,2.0,1.0,1.0,149238.35,0.0
1,15592761.0,Тестов539,579.0,Алматы,Female,28.0,1.0,,2.0,1.0,0.0,64869.32,0.0
2,15579914.0,Тестов275,744.0,Алматы,Female,56.0,5.0,,1.0,1.0,0.0,158816.03,1.0
3,15669611.0,Есенгельдиев,697.0,Алматы,Male,29.0,2.0,,2.0,1.0,0.0,55775.72,0.0
4,15761775.0,Тестов451,628.0,Алматы,Female,22.0,9.0,,2.0,1.0,0.0,49653.39,0.0
5,15621409.0,Тестов478,850.0,Алматы,Male,29.0,2.0,,1.0,0.0,0.0,93835.64,0.0
6,15633043.0,Тестов414,588.0,Алматы,Male,23.0,2.0,,2.0,1.0,1.0,130189.72,0.0
7,15672056.0,Тестов28,594.0,Астана,Male,39.0,8.0,,2.0,1.0,0.0,155879.57,0.0
8,15700212.0,Тестов706,652.0,Алматы,Female,29.0,4.0,152926.4,1.0,1.0,1.0,119882.7,0.0
9,15777907.0,Тестов458,683.0,Атырау,Male,36.0,2.0,123047.86,2.0,1.0,0.0,107221.04,0.0
10,15664270.0,Тестов142,586.0,Атырау,Male,33.0,3.0,104822.45,2.0,1.0,0.0,141756.32,0.0
11,15730360.0,Тестов32,562.0,Алматы,Female,38.0,9.0,,2.0,1.0,0.0,127630.88,0.0
12,15751177.0,Тестов627,559.0,Атырау,Female,55.0,1.0,140418.76,1.0,1.0,1.0,151871.84,1.0
13,15763613.0,Тестов359,751.0,Алматы,Male,46.0,3.0,,2.0,1.0,1.0,187800.63,0.0
14,15628992.0,Тестов698,596.0,Астана,Female,31.0,5.0,,2.0,0.0,1.0,91347.76,0.0
15,15634896.0,Тестов315,599.0,Астана,Male,39.0,4.0,,2.0,1.0,0.0,152883.95,0.0
16,15627848.0,Тестов696,743.0,Атырау,Male,32.0,8.0,121729.42,2.0,0.0,1.0,80587.27,0.0
17,15589323.0,Тестов725,607.0,Алматы,Female,56.0,9.0,112372.96,1.0,1.0,1.0,162858.28,0.0
18,15654025.0,Тестов356,712.0,Алматы,Male,28.0,3.0,,2.0,0.0,1.0,182726.22,0.0
19,15677317.0,Бекмурзаев,632.0,Алматы,Male,26.0,9.0,,2.0,1.0,0.0,137961.41,0.0
20,15772381.0,Тестов760,678.0,Алматы,Male,32.0,6.0,96763.89,1.0,1.0,1.0,125961.48,0.0
21,15571843.0,Тестов119,570.0,Астана,Female,35.0,6.0,,2.0,1.0,0.0,183542.08,0.0
22,15592229.0,Тестов178,669.0,Алматы,Male,50.0,9.0,,1.0,1.0,1.0,113950.51,1.0
23,15632345.0,Тестов416,644.0,Алматы,Male,38.0,1.0,96473.58,1.0,1.0,0.0,79866.73,0.0
24,15702293.0,Тестов551,730.0,Алматы,Female,43.0,9.0,,1.0,1.0,0.0,92816.86,1.0
25,15791777.0,Тестов249,747.0,Атырау,Male,27.0,1.0,123971.16,1.0,1.0,0.0,100816.29,1.0
26,15638003.0,Тестов626,705.0,Астана,Female,38.0,7.0,,2.0,1.0,0.0,71830.1,0.0
27,15748327.0,Тестов482,796.0,Алматы,Female,40.0,6.0,,2.0,1.0,1.0,180318.6,0.0
28,15615797.0,Тестов32,696.0,Астана,Male,42.0,6.0,,2.0,0.0,1.0,137763.99,0.0
29,15716347.0,Тестов570,472.0,Алматы,Male,47.0,1.0,,2.0,1.0,0.0,131736.23,0.0
30,15785519.0,Тестов566,594.0,Алматы,Female,52.0,0.0,,2.0,0.0,0.0,125427.42,1.0
31,15731519.0,Тестов369,685.0,Алматы,Male,28.0,4.0,,1.0,1.0,0.0,176692.65,0.0
32,15642991.0,Тестов488,547.0,Алматы,Female,38.0,5.0,132730.17,1.0,1.0,1.0,62980.96,0.0
33,15573851.0,Тестов456,561.0,Астана,Female,32.0,7.0,113348.5,1.0,1.0,1.0,62688.55,0.0
34,15683560.0,Тестов538,633.0,Астана,Male,30.0,8.0,,2.0,1.0,0.0,60778.11,0.0
35,15670562.0,Тестов468,656.0,Алматы,Male,33.0,9.0,,2.0,1.0,0.0,75664.56,0.0
36,15658946.0,Тестов617,696.0,Астана,Female,32.0,5.0,,2.0,1.0,0.0,93717.55,0.0
37,15703437.0,Тестов461,521.0,Атырау,Female,27.0,6.0,167903.32,2.0,1.0,1.0,76637.38,0.0
38,15700255.0,Тестов130,651.0,Алматы,Female,32.0,8.0,,1.0,1.0,0.0,180712.52,0.0
39,15592387.0,Тестов506,695.0,Астана,Female,39.0,5.0,,2.0,1.0,1.0,177627.57,0.0
40,15689955.0,Тестов380,632.0,Алматы,Male,40.0,6.0,,3.0,1.0,1.0,128954.05,1.0
41,15763063.0,Тестов186,729.0,Атырау,Male,26.0,5.0,126816.18,1.0,0.0,1.0,174098.28,0.0
42,15706394.0,Тестов399,632.0,Астана,Female,45.0,9.0,,2.0,0.0,1.0,73562.05,0.0
43,15756926.0,Даулетов,687.0,Астана,Female,31.0,4.0,,2.0,1.0,1.0,26772.04,0.0
44,15801256.0,Тестов527,578.0,Алматы,Male,29.0,5.0,,2.0,0.0,0.0,143598.7,0.0
45,15659820.0,Тестов29,645.0,Атырау,Male,33.0,9.0,176958.46,2.0,1.0,0.0,135068.99,0.0
46,15802758.0,Тестов130,550.0,Атырау,Female,33.0,10.0,106234.02,1.0,1.0,0.0,62454.01,1.0
47,15641575.0,Тестов642,714.0,Алматы,Male,32.0,8.0,102290.56,1.0,1.0,1.0,167984.72,0.0
48,15662571.0,Тестов589,676.0,Атырау,Female,33.0,5.0,98775.23,1.0,0.0,1.0,173498.45,0.0
49,15811327.0,Тестов262,679.0,Атырау,Male,43.0,6.0,118830.06,1.0,1.0,0.0,162960.05,1.0
50,15673529.0,Тестов303,541.0,Астана,Female,57.0,5.0,,2.0,1.0,1.0,46735.19,0.0
51,15678057.0,Тестов640,646.0,Астана,Male,29.0,9.0,,2.0,1.0,0.0,133091.32,0.0
52,15697480.0,Тестов146,521.0,Атырау,Female,45.0,5.0,153861.1,2.0,1.0,1.0,132973.17,0.0
